"Avenida de Mayo 200, Ramos Mejía, Buenos Aires, Argentina","-58.5652015","-34.6425663"
"Arieta 2200, San Justo, Buenos Aires, Argentina","-58.5707932","-34.6707699"
"Villegas 2400, San Justo, Buenos Aires, Argentina","-58.5610094","-34.6768102"
"Rosales 300, Ramos Mejía, Buenos Aires, Argentina","-58.5665235","-34.6438545"
"Necochea 150, Ramos Mejía, Buenos Aires, Argentina","-58.5669386","-34.6424608"
"Almafuerte 3100, San Justo, Buenos Aires, Argentina","-58.5601031","-34.6775477"
"Hipólito Yrigoyen 2600, San Justo, Buenos Aires, Argentina","-58.5614135","-34.6790189"
"Alsina 50, Ramos Mejía, Buenos Aires, Argentina","-58.5720028","-34.6437245"
"Entre Ríos 2900, San Justo, Buenos Aires, Argentina","-58.5615857","-34.6752201"
"Mariano Moreno 400, Ramos Mejía, Buenos Aires, Argentina","-58.562565","-34.6423595"
